,EventId,Behaviour,Object,Outcome,Significance,ExternalId,Threat
318,1764034,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
319,1764035,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
320,1764036,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
321,1764037,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
322,1764038,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
323,1764039,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
324,1764040,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
325,1764041,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
326,1764042,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
327,1764043,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
328,1764044,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
329,1764045,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
330,1764046,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
331,1764047,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
332,1764048,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
333,1764049,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
334,1764050,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
335,1764051,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
336,1764052,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
337,1764053,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
338,1764054,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
339,1764055,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
340,1764056,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
341,1764057,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
342,1764058,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
